1,"	2.02	 ",-69.95,,,2,4.05,8.11,12.27,14.46,16.36
1,"	2.07	 ",-70.08,,,2.07,4.04,8.15,12.45,14.34,16.34
1,"	2.02	 ",-70.1,,,2.02,4.08,8.15,12.26,14.44,16.37
1,"	2.01	 ",-70.06,,,2.01,4.13,8.09,12.18,14.31,16.36
1,"	1.98	 ",-70.03,,,1.98,4.1,8.09,12.3,14.66,16.39
1,"	2.00	 ",-70.08,,,2,4.12,8.12,12.4,14.53,16.42
1,"	2.04	 ",-70.2,,,2.04,4.12,8.15,12.39,14.45,16.44
1,"	2.06	 ",-70.05,,,2.06,4.18,8.15,12.41,14.4,16.44
1,"	2.00	 ",-69.71,,,2,4.18,8.11,12.43,14.37,16.38
1,"	2.00	 ",-69.65,,,2,4.11,8.16,12.38,14.3,16.44
1,"	2.08	 ",-69.82,,,2.08,4.16,8.13,12.58,14.37,16.46
1,"	2.00	 ",-69.88,,,2,4.03,8.14,12.29,14.42,16.41
1,"	2.01	 ",-70.13,,,2.01,4.08,8.09,12.46,14.4,16.36
1,"	2.04	 ",-70.07,,,2.04,4.09,8.22,12.34,14.35,16.4
1,"	2.05	 ",-69.29,,,2.05,4.11,8.23,12.39,14.33,16.36
1,"	2.04	 ",-69.29,,,2.04,4.08,8.18,12.3,14.25,16.4
1,"	1.96	 ",-69.91,,,1.96,4.12,8.27,12.28,14.21,16.44
1,"	2.02	 ",-69.54,,,2.02,4.16,8.35,12.33,14.29,16.38
1,"	2.05	 ",-70.06,,,2.05,4.21,8.31,12.46,14.29,16.37
1,"	1.99	 ",-70.21,,,1.99,4.21,8.31,12.32,14.26,16.44
1,"	2.03	 ",-70.36,,,2.03,4.25,8.31,12.32,14.26,16.44
1,"	2.03	 ",-70.57,,,2.03,4.2,8.28,12.29,14.31,16.47
1,"	2.04	 ",-70.18,,,2.04,4.22,8.26,12.29,14.38,16.4
1,"	2.02	 ",-70.41,,,2.02,4.15,8.32,12.31,14.38,16.44
1,"	2.01	 ",-70.55,,,2.01,4.16,8.28,12.24,14.62,16.44
1,"	2.00	 ",-70.24,,,2,4.16,8.14,12.24,14.34,16.41
1,"	2.02	 ",-70.62,,,2.02,4.16,8.16,12.33,14.57,16.36
1,"	2.04	 ",-69.04,,,2.04,4.1,8.23,12.15,14.46,16.37
1,"	2.00	 ",-70.13,,,2,4.15,8.2,12.27,14.63,16.41
1,"	2.00	 ",-69.66,,,2,4.11,8.26,12.18,14.52,16.37
1,"	1.98	 ",-70.48,,,1.98,4.19,8.31,12.19,14.46,16.36
1,"	2.02	 ",-70.85,,,2.02,4.17,8.22,12.25,14.3,16.41
1,"	2.01	 ",-70.38,,,2.01,4.14,8.28,12.31,14.38,16.42
1,"	2.04	 ",-70.25,,,2.04,4.22,8.29,12.27,14.45,16.4
1,"	2.05	 ",-69.48,,,2.05,4.16,8.39,12.31,14.22,16.44
1,"	2.03	 ",-69.72,,,2.03,4.14,8.4,12.27,14.38,16.51
1,"	1.96	 ",-70.2,,,1.96,4.14,8.3,12.29,14.48,16.44
1,"	2.00	 ",-70.17,,,2,4.16,8.44,12.26,14.3,16.52
1,"	2.06	 ",-69.05,,,2.06,4.13,8.43,12.3,14.32,16.49
1,"	2.04	 ",-69.44,,,2.04,4.16,8.46,12.42,14.23,16.44
1,"	2.05	 ",-69.3,,,2.05,4.13,8.3,12.26,14.39,16.39
1,"	2.02	 ",-69.79,,,2.02,4.15,8.4,12.28,14.26,16.39
1,"	2.02	 ",-69.22,,,2.02,4.19,8.35,12.28,14.36,16.44
1,"	2.02	 ",-69.83,,,2.02,4.18,8.39,12.38,14.38,16.32
1,"	2.00	 ",-69.97,,,2,4.22,8.27,12.33,14.3,16.36
1,"	2.09	 ",-69.83,,,2.09,4.17,8.4,12.47,14.34,16.38
1,"	2.00	 ",-69.71,,,2,4.12,8.3,12.38,14.39,16.4
1,"	1.98	 ",-69.44,,,1.98,4.19,8.33,12.33,14.35,16.42
1,"	1.98	 ",-69.66,,,1.98,4.2,8.32,12.35,14.4,16.36
1,"	2.04	 ",-69.9,,,2.04,4.14,8.35,12.16,14.38,16.5
1,"	2.07	 ",-70.37,,,2.07,4.16,8.31,12.3,14.33,16.38
1,"	2.01	 ",-69.99,,,2.01,4.16,8.32,12.42,14.32,16.4
